nome_fantasia,cnpj_parceiro,telefone_parceiro,id_parceiro
Marques Ferreira Ltda.,71.956.320/0001-68,71 8373-4031,71956320000168
Novaes,52.346.709/0001-47,0800-268-6025,52346709000147
Cirino,10.789.432/0001-87,41 9524 9911,10789432000187
Novais,12.403.859/0001-20,0900 376 1847,12403859000120
Andrade,15.863.492/0001-16,(071) 2090 4217,15863492000116
Albuquerque - ME,18.296.475/0001-32,+55 71 1027-6747,18296475000132
Oliveira Gomes S.A.,36.482.157/0001-48,11 5803-0468,36482157000148
Macedo,10.423.769/0001-76,(031) 9956 4122,10423769000176
Correia,95.831.024/0001-07,(011) 0566-4187,95831024000107
Sampaio,89.231.756/0001-55,+55 84 3865 6242,89231756000155
da Luz S.A.,78.543.692/0001-01,+55 (051) 6527-3543,78543692000101
Melo,13.486.579/0001-96,+55 11 9840-2891,13486579000196
Macedo Macedo S.A.,26.819.035/0001-40,(011) 2934-4973,26819035000140
Brito,58.091.462/0001-41,+55 (081) 0651 2070,58091462000141
Alves,70.136.845/0001-94,71 7389 9756,70136845000194
Fonseca,93.254.087/0001-04,+55 (021) 2041 7929,93254087000104
Leão,50.186.723/0001-03,+55 (041) 0074-9465,50186723000103
Caldeira,87.903.421/0001-00,(081) 3131 2206,87903421000100
Ferreira - EI,32.706.851/0001-40,(021) 6032-4204,32706851000140
Abreu,87.653.941/0001-02,+55 41 7731 8063,87653941000102
Guerra,97.306.152/0001-59,+55 84 3018-7186,97306152000159
da Paz,94.738.615/0001-63,0900 090 2259,94738615000163
Lopes Cavalcanti e Filhos,10.395.286/0001-05,71 6734-2575,10395286000105
da Luz Gonçalves S.A.,75.048.632/0001-24,0900 275 2437,75048632000124
Carvalho Sousa S/A,96.258.074/0001-00,0300-082-4043,96258074000100
Rocha e Filhos,65.140.839/0001-70,(061) 7332-9456,65140839000170
Rezende Monteiro - ME,84.931.625/0001-67,0800-499-9393,84931625000167
Monteiro Andrade S.A.,63.418.709/0001-21,0300-971-7911,63418709000121
Garcia,28.650.493/0001-24,+55 (084) 5668 6334,28650493000124
Mendes,69.457.012/0001-46,31 8143-1115,69457012000146
Guerra Araújo S.A.,49.086.132/0001-77,0300 465 1909,49086132000177
Porto,51.428.963/0001-21,21 1046 3681,51428963000121
Nogueira,31.287.095/0001-08,(011) 8962-7066,31287095000108
Rios Silva Ltda.,23.157.069/0001-29,+55 81 9444 0192,23157069000129
Azevedo,18.924.536/0001-69,0500-416-5162,18924536000169
Ribeiro,81.924.605/0001-70,31 7016 5804,81924605000170
Fogaça,38.671.409/0001-02,+55 51 2302 4102,38671409000102
Ferreira,29.803.475/0001-06,(011) 2737-1586,29803475000106
Cavalcante,67.042.319/0001-50,(051) 7901-4754,67042319000150
Pastor - ME,89.036.751/0001-71,+55 11 5048-8899,89036751000171
Moreira,26.194.750/0001-35,+55 71 7490 7539,26194750000135
Nogueira Cardoso e Filhos,27.538.469/0001-35,61 5714-2241,27538469000135
Vargas da Rocha S/A,73.458.106/0001-07,41 9804 2043,73458106000107
da Mota,48.526.193/0001-45,(081) 1536 6377,48526193000145
Martins Garcia Ltda.,24.917.653/0001-06,0500 264 9578,24917653000106
Pastor Câmara S/A,51.690.843/0001-06,+55 (081) 1780-7823,51690843000106
Vargas,94.586.732/0001-59,+55 61 0777-8097,94586732000159
Ramos Porto - EI,56.483.297/0001-48,31 7666 5674,56483297000148
Borges da Rocha Ltda.,39.864.210/0001-63,61 2128 6716,39864210000163
