id_oportunidade,id_parceiro,id_produto,data_registro,quantidade,valor_total,status
1,71956320000168,1,2023-02-25,23,66035.07,Fechada
2,52346709000147,2,2024-04-10,28,79933.56,Perdida
3,10789432000187,3,2024-02-28,35,124281.5,Perdida
4,12403859000120,4,2023-06-04,25,14304.0,Aberta
5,15863492000116,5,2024-10-26,90,421719.30000000005,Fechada
6,18296475000132,6,2023-11-05,88,131347.03999999998,Perdida
7,36482157000148,7,2023-12-03,94,205066.63999999998,Perdida
8,10423769000176,1,2023-09-13,68,195234.12,Perdida
9,95831024000107,8,2024-08-29,82,326339.5,Aberta
10,89231756000155,9,2023-10-18,87,171768.44999999998,Perdida
11,89231756000155,39,2023-10-18,87,171768.44999999998,Perdida
12,78543692000101,10,2024-09-18,61,304314.97000000003,Perdida
13,13486579000196,11,2024-06-18,73,342283.86,Aberta
14,26819035000140,5,2025-01-02,26,121830.02000000002,Fechada
15,58091462000141,12,2024-09-17,85,186499.35,Fechada
16,70136845000194,13,2023-04-16,81,82522.8,Perdida
17,93254087000104,14,2024-02-15,8,21112.88,Aberta
18,70136845000194,15,2024-06-06,63,292523.49,Aberta
19,50186723000103,16,2024-04-19,1,397.37,Fechada
20,87903421000100,17,2024-04-10,6,10053.119999999999,Fechada
21,32706851000140,18,2023-06-29,19,79004.09,Fechada
22,87653941000102,19,2023-03-31,40,128077.2,Perdida
23,97306152000159,6,2023-11-11,46,68658.68,Perdida
24,94738615000163,20,2023-01-15,86,74389.14,Fechada
25,10395286000105,2,2024-03-01,21,59950.17,Aberta
26,75048632000124,4,2024-10-31,47,26891.519999999997,Perdida
27,96258074000100,21,2023-12-31,65,268737.95,Aberta
28,65140839000170,22,2023-09-10,84,21743.4,Fechada
29,84931625000167,23,2023-04-30,69,331147.56,Fechada
30,63418709000121,24,2024-10-02,91,151201.96,Perdida
31,28650493000124,25,2023-08-26,80,126380.0,Perdida
32,69457012000146,25,2024-10-19,49,77407.75,Aberta
33,49086132000177,26,2023-06-27,27,94901.76000000001,Perdida
34,51428963000121,15,2024-01-31,66,306453.18,Aberta
35,31287095000108,27,2024-06-19,72,12476.88,Fechada
36,87653941000102,28,2023-12-28,60,89901.59999999999,Perdida
37,23157069000129,29,2023-05-02,2,8544.42,Fechada
38,18924536000169,30,2024-04-19,58,154778.22,Fechada
39,81924605000170,31,2023-08-16,9,14996.07,Aberta
