id_sellout,id_parceiro,id_produto,data_fatura,nf,quantidade,valor_total
1,54318792000176,5,2023-06-19,NF_267049,98,459205.46
2,85730216000165,50,2023-03-30,NF_291155,85,159709.9
3,12064379000182,14,2024-02-18,NF_907848,97,255993.67
4,31287095000108,41,2024-12-26,NF_600759,8,35643.12
5,89231756000155,32,2023-06-26,NF_821240,34,138292.62
6,17560438000127,28,2024-04-07,NF_780464,19,28468.839999999997
7,28597364000110,47,2024-07-03,NF_131240,11,34980.22
8,53879426000123,10,2024-08-28,NF_894445,50,249438.50000000003
9,31287095000108,33,2024-03-26,NF_894650,85,278603.65
10,83279064000109,2,2024-06-18,NF_755062,14,39966.78
11,36482157000148,45,2024-01-19,NF_652510,39,171123.41999999998
12,01357894000134,28,2024-08-11,NF_290531,83,124363.87999999999
13,94586732000159,9,2024-03-29,NF_160499,4,13504.36
14,94586732000159,39,2024-03-29,NF_160499,4,13504.36
15,58091462000141,22,2024-10-20,NF_485036,45,11648.250000000002
16,14978052000141,26,2024-03-03,NF_308390,98,344458.24
17,97306152000159,29,2024-07-10,NF_730298,2,8544.42
18,83057142000112,26,2023-08-11,NF_388786,33,115991.04000000001
19,82916470000164,7,2024-10-23,NF_470714,99,215974.44
20,87903421000100,10,2024-04-16,NF_165581,86,429034.22000000003
21,35401862000100,1,2024-09-12,NF_447256,1,2871.09
22,24570639000170,51,2023-03-09,NF_216938,64,36618.24
23,24570639000170,53,2023-03-09,NF_216938,64,36618.24
24,03461279000107,3,2023-07-27,NF_595685,27,95874.3
25,84931625000167,6,2024-04-17,NF_945200,75,111943.5
26,15207483000177,1,2024-12-17,NF_790884,90,258398.1
27,51243687000127,45,2024-07-09,NF_468713,68,298369.04
28,58091462000141,27,2024-02-05,NF_116504,74,12823.46
29,84931625000167,9,2023-12-05,NF_934071,12,23692.199999999997
30,84931625000167,39,2023-12-05,NF_934071,12,23692.199999999997
31,39582407000100,5,2023-02-03,NF_754402,21,98401.17000000001
32,69235417000130,29,2024-04-09,NF_697410,61,260604.81
33,05813476000165,18,2024-08-04,NF_624813,90,374229.89999999997
34,54029617000169,17,2024-05-03,NF_472378,33,55292.159999999996
35,67103492000111,34,2024-11-28,NF_852026,85,263739.7
36,29803475000106,33,2023-09-09,NF_179592,15,49165.35
37,27910485000107,29,2024-10-01,NF_878864,6,25633.260000000002
38,70136845000194,45,2023-09-08,NF_758763,54,236940.12
39,56789413000151,23,2023-01-19,NF_668298,75,359943.0
40,50186723000103,44,2024-11-11,NF_738646,14,57730.26
41,43291087000106,27,2023-08-15,NF_535603,37,6411.73
42,47562019000195,48,2024-04-15,NF_709574,25,119940.75
43,82617945000111,24,2024-07-06,NF_598726,31,51508.36
44,50692487000199,2,2024-09-20,NF_209817,76,216962.52
45,36128450000101,19,2024-06-05,NF_878649,21,67240.53
46,98274613000111,40,2023-06-18,NF_302055,71,26170.600000000002
47,84976513000122,47,2023-04-29,NF_475782,37,117660.74
48,75832104000161,31,2024-10-08,NF_498030,15,24993.45
49,73549286000132,30,2023-11-27,NF_932707,67,178795.53
50,60841275000180,23,2024-09-01,NF_230420,34,163174.16
51,14385697000170,24,2024-11-15,NF_808033,76,126278.56
52,75924680000139,49,2023-12-13,NF_371909,85,296801.3
53,69273150000175,40,2023-08-26,NF_354285,49,18061.4
54,52346709000147,17,2023-06-25,NF_474641,92,154147.84
55,94350628000160,50,2023-04-17,NF_488452,93,174741.42
56,04732156000118,18,2023-04-20,NF_958436,65,270277.14999999997
57,73891425000101,10,2024-08-08,NF_500376,87,434022.99000000005
58,14320856000159,37,2023-06-29,NF_206569,14,5724.18
59,93748502000186,10,2024-04-10,NF_558131,94,468944.38000000006
60,37465092000195,40,2023-07-26,NF_286668,54,19904.4
61,53879426000123,,2024-12-01,NF_164354,27,11039.49
62,24190358000192,7,2023-10-30,NF_479342,79,172343.24
63,09635714000140,18,2023-03-27,NF_986421,20,83162.2
64,41089326000114,25,2023-04-19,NF_494624,61,96364.75
65,94738615000163,29,2023-03-27,NF_710699,20,85444.2
66,18796230000174,14,2023-05-09,NF_515139,66,174181.26
67,34156087000102,42,2024-07-19,NF_495216,66,224330.04
68,32571809000160,26,2024-03-08,NF_467311,79,277675.52
69,29803475000106,21,2024-04-06,NF_376698,63,260469.09000000003
70,16934507000152,12,2024-07-07,NF_955274,68,149199.48
71,04732156000118,48,2025-01-02,NF_547866,61,292655.43
72,67042319000150,11,2024-11-21,NF_147413,48,225063.36
73,19064732000173,15,2024-02-26,NF_386922,55,255377.64999999997
74,40182675000113,47,2024-09-24,NF_831396,86,273481.72
75,08193762000163,38,2024-05-27,NF_683841,88,245264.8
76,43291087000106,50,2023-03-06,NF_314761,91,170983.54
77,71956320000168,8,2024-06-04,NF_586422,41,163169.75
78,75048632000124,20,2024-11-11,NF_714566,84,72659.16
79,52346709000147,23,2024-12-14,NF_988517,68,326348.32
80,10423769000176,24,2023-03-30,NF_484764,50,83078.0
